STA,Precip,MinTemp,MaxTemp
10001,1.016,22.22222222,25.55555556
10001,0,21.66666667,28.88888889
10001,2.54,22.22222222,26.11111111
10001,2.54,22.22222222,26.66666667
10001,0,21.66666667,26.66666667
10001,0,21.66666667,26.66666667
10001,T,22.77777778,28.33333333
10001,3.556,22.22222222,26.66666667
10001,T,22.77777778,27.22222222
10001,3.556,21.66666667,25.55555556
10001,0,21.66666667,25.55555556
10001,0.508,22.22222222,24.44444444
10001,0,21.66666667,26.11111111
10001,0,22.22222222,26.11111111
10001,0,22.77777778,25.55555556
10001,T,21.11111111,26.11111111
10001,T,22.22222222,28.33333333
10001,T,21.11111111,26.66666667
10001,0,21.66666667,27.77777778
10001,0,20,26.11111111
10001,T,21.66666667,24.44444444
10001,T,21.11111111,24.44444444
10001,0,20.55555556,26.66666667
10001,0,18.88888889,27.22222222
10001,0,19.44444444,27.22222222
10001,0,19.44444444,25.55555556
10001,0,19.44444444,25.55555556
10001,0,19.44444444,26.66666667
10001,0,19.44444444,26.66666667
10001,0,19.44444444,27.22222222
10001,0,19.44444444,27.22222222
10001,0,20,26.11111111
10001,0,20.55555556,24.44444444
10001,0,20.55555556,24.44444444
10001,0,21.11111111,26.66666667
10001,T,21.11111111,26.66666667
10001,0,21.66666667,24.44444444
10001,T,21.11111111,24.44444444
10001,0,20.55555556,26.11111111
10001,0,20.55555556,26.11111111
10001,0,21.66666667,27.22222222
10001,0,21.66666667,25
10001,0,20.55555556,25.55555556
10001,0,20.55555556,25.55555556
10001,T,20,25.55555556
10001,0.254,17.77777778,25.55555556
10001,0,19.44444444,25.55555556
10001,T,20,25.55555556
10001,T,20.55555556,26.11111111
10001,0,20.55555556,27.77777778
10001,0.508,20.55555556,23.88888889
10001,0.254,20,32.77777778
10001,0,20.55555556,27.22222222
10001,0,20.55555556,25
10001,0,20.55555556,27.77777778
10001,0,20,26.66666667
10001,0,20.55555556,27.22222222
10001,0,20.55555556,27.22222222
10001,T,20.55555556,27.22222222
10001,T,21.11111111,25
10001,0,20.55555556,27.22222222
10001,0,21.11111111,27.22222222
10001,0.254,21.11111111,27.22222222
10001,0.254,22.22222222,27.22222222
10001,1.778,21.11111111,27.22222222
10001,0,21.11111111,27.22222222
10001,T,22.22222222,27.22222222
10001,0,22.22222222,26.66666667
10001,0.254,21.66666667,26.66666667
10001,0,21.11111111,27.22222222
10001,T,21.66666667,26.66666667
10001,0,21.11111111,28.33333333
10001,0,21.11111111,26.11111111
10001,T,21.66666667,27.22222222
10001,T,21.66666667,27.22222222
10001,1.016,22.77777778,27.77777778
10001,0,22.77777778,27.77777778
10001,0,21.66666667,30
10001,0,22.22222222,27.77777778
10001,0,21.11111111,31.11111111
10001,0,22.22222222,34.44444444
10001,T,21.66666667,30.55555556
10001,T,22.22222222,29.44444444
10001,T,22.22222222,30.55555556
10001,0.254,23.33333333,26.11111111
10001,0,22.22222222,25.55555556
10001,T,21.66666667,30.55555556
10001,0,22.22222222,31.66666667
10001,T,21.11111111,31.66666667
10001,3.302,20.55555556,32.22222222
10001,0.762,22.22222222,27.77777778
10001,0,22.22222222,29.44444444
10001,T,23.33333333,31.11111111
10001,0,22.77777778,31.11111111
10001,0,22.22222222,31.11111111
